question,answer,expected_answer,similarity_score
Quelle est la durée du congé paternité pour les employés masculins ?,Les employés masculins ont droit à 4 semaines de congé de paternité.,Les employés masculins ont droit à un congé paternité de 4 semaines.,0.993536901243095
Quelle est la mission principale de l'entreprise XXX ?,"La mission de l'entreprise XXX est de fournir des produits et services de haute technologie qui améliorent la performance des véhicules et la sécurité des utilisateurs, tout en valorisant l'innovation, la qualité, la collaboration, la responsabilité, le respect et l'engagement.",La mission de l'entreprise XXX est de fournir des produits et services de haute technologie qui améliorent la performance des véhicules et garantissent la sécurité des utilisateurs.,0.9843901022595841
Quelle est la stratégie de communication mise en place par l'entreprise XXX ?,"L'entreprise XXX favorise une culture de communication ouverte, avec des réunions régulières entre les équipes et la direction, divers canaux de communication et une transparence dans le partage des informations. Elle valorise également les retours constructifs et encourage les employés à participer aux enquêtes et aux sessions de feedback.","L'entreprise XXX favorise une culture de communication ouverte où tous les employés sont encouragés à partager leurs idées, préoccupations et suggestions. Des réunions régulières entre les équipes et la direction ainsi que des canaux de communication diversifiés sont mis en place.",0.9840717964486644
Que permet l'auto-évaluation dans le cadre de l'évaluation annuelle chez l'entreprise XXX ?,"L'auto-évaluation fait partie du processus d'évaluation annuelle de la performance chez l'entreprise XXX et est utilisée pour documenter les réalisations de l'employé, les domaines nécessitant une amélioration et les objectifs pour l'année suivante.","L'auto-évaluation dans le processus d'évaluation annuelle de l'entreprise XXX permet à chaque employé de réfléchir à ses réalisations, ses défis et ses progrès par rapport aux objectifs fixés.",0.970439796701808
Quels moyens sont à disposition des employés pour signaler des comportements inappropriés ?,"Les employés peuvent signaler un comportement inapproprié en utilisant un système de signalement confidentiel en place, et peuvent soumettre leurs préoccupations de manière anonyme à l'aide d'un formulaire remplissable sur l'intranet.","Les employés peuvent signaler des comportements inappropriés en utilisant un formulaire de signalement anonyme disponible sur l'intranet, un email dédié à l'équipe des Ressources Humaines ou un entretien direct avec le responsable RH.",0.9586090367571922
Que comprend le programme d'intégration des nouveaux employés ?,"Le programme d'intégration des nouveaux employés comprend une présentation de l'entreprise et de ses valeurs, une introduction à l'équipe et aux départements, ainsi qu'une formation sur les outils et processus de l'entreprise. Après l'intégration, l'entreprise effectue un suivi avec des réunions régulières pour discuter de la performance et apporter les ajustements nécessaires. L'entreprise accorde une grande importance au développement des employés et offre des opportunités d'apprentissage continu, y compris des programmes de formation et des évaluations.","Le programme d'intégration comprend une présentation de l'entreprise et de ses valeurs, une introduction aux membres de l'équipe et aux différents départements, ainsi qu'une formation sur les outils et les processus utilisés par l'entreprise.",0.9565496170648035
Comment calcule-t-on les jours de congés pour les employés à temps partiel ?,Les jours de congé annuel pour les employés à temps partiel sont calculés au prorata.,Les employés à temps partiel bénéficient d'un calcul au prorata en fonction de leur temps de travail.,0.9545146206128753
Comment la politique de santé et de sécurité est-elle appliquée par l'entreprise XXX ?,"L'entreprise XXX a une politique de santé et de sécurité proactive, et la direction est responsable de la mise en uvre et de l'application de cette politique.",La politique de santé et de sécurité de l'entreprise XXX est proactive et vise à prévenir les accidents et les maladies professionnelles. Elle s'efforce de minimiser les risques grâce à une gestion rigoureuse et une formation adéquate.,0.9500504318118733
Comment l'entreprise XXX protège-t-elle les employés signalant des comportements inappropriés ?,"Selon les politiques de l'entreprise, si un employé signale des comportements inappropriés, il/elle peut s'attendre à ce que l'enquête soit menée de manière confidentielle et à ce qu'il/elle ne subisse aucune forme de représailles.","L'entreprise XXX assure la protection de ses employés qui signalent des comportements inappropriés contre toute forme de représailles. Les signalements seront traités de manière confidentielle dans la mesure du possible. Le suivi des signalements sera effectué avec sérieux et diligence, et des mesures appropriées seront prises en fonction des résultats de l'enquête.",0.9316721112016608
Quels types d'équipements de protection individuelle sont fournis par l'entreprise XXX ?,"La politique RH mentionne que l'entreprise fournit des Équipements de Protection Individuelle (EPI) à tous les employés en fonction de leur environnement de travail, y compris des casques. Cependant, il n'y a pas d'informations spécifiques sur les types d'EPI fournis. L'utilisateur peut contacter son superviseur ou le responsable des ressources humaines pour en savoir plus.","L'entreprise XXX fournit à tous les employés les équipements de protection individuelle (EPI) nécessaires en fonction de leur environnement de travail, tels que des casques de protection, des gants, des lunettes de sécurité et des chaussures de sécurité.",0.9297715156157103
Quels comportements attend-on des employés vis-à-vis de leurs collègues ?,"Les employés sont censés faire preuve d'intégrité, de respect et de professionnalisme envers leurs collègues, et s'engager positivement dans la culture de l'entreprise.","Les employés doivent traiter leurs collègues avec respect, en valorisant la diversité et en évitant les comportements discriminatoires, harcelants ou intimidants.",0.9267375401558873
De quelle manière les employés peuvent-ils participer positivement à la culture d'entreprise ?,"Les employés peuvent contribuer positivement à la culture de l'entreprise en profitant des aménagements de travail flexibles et des ressources mises à disposition, en fournissant des retours pour améliorer les politiques, et en favorisant les relations sociales ainsi qu'une communication ouverte avec leurs collègues.",Les employés sont encouragés à contribuer positivement à la culture de l'entreprise en participant aux initiatives et événements organisés par lentreprise XXX.,0.9146727266708427
Quelle est la priorité de l'entreprise XXX concernant la formation et le développement des collaborateurs ?,"L'entreprise accorde la priorité au développement des employés et offre des opportunités d'apprentissage continu, notamment à travers des programmes de formation et des évaluations.",La formation et le développement des employés sont des priorités chez l'entreprise XXX.,0.9133025656899788
Quelle est l'importance accordée au respect par l'entreprise XXX ?,"L'entreprise accorde une grande importance au respect sur le lieu de travail, y compris le respect des collègues et de la diversité, l'honnêteté et la transparence dans toutes les interactions, l'évitement de comportements discriminatoires, une communication professionnelle, ainsi que l'engagement dans la culture de l'entreprise.",Le respect des personnes et de la diversité est une priorité pour l'entreprise XXX. Elle promeut un environnement de travail inclusif où chacun se sent valorisé et écouté.,0.9117879727316055
Quels éléments sont définis par la politique de congés de l'entreprise XXX ?,"La politique de prise de congés annuels inclut l'accumulation des congés non utilisés jusqu'à 5 jours, l'utilisation raisonnable et planifiée des congés, le suivi et le contrôle des congés pris et restants, et vise un équilibre entre le travail et la vie personnelle.","La politique de congés de l'entreprise XXX définit les différents types de congés disponibles, les procédures à suivre pour les demander, ainsi que les règles d'accumulation et d'utilisation des congés.",0.9065776538980397
Quel est le but de la politique de congés dans l'entreprise XXX ?,"L'objectif de la politique de congés dans l'entreprise est de favoriser l'équilibre entre vie professionnelle et vie privée et d'encourager une utilisation raisonnable des congés, avec la possibilité de cumuler jusqu'à 5 jours non utilisés. Les employés doivent soumettre une demande écrite à leur superviseur au moins 2 semaines avant la date de départ souhaitée, sauf en cas de maladie.",La politique de congés de l'entreprise XXX vise à garantir un équilibre entre la vie professionnelle et la vie personnelle de ses employés.,0.9044164916715739
Quelles sont les formations proposées par l'entreprise XXX ?,"L'entreprise XXX propose divers types de programmes de formation pour soutenir le développement des employés, incluant des opportunités de formation techniques, personnelles et d'apprentissage continu. La formation technique se concentre sur le développement de compétences spécifiques dans des domaines tels que l'ingénierie, le développement logiciel et la gestion de projet. La formation au développement personnel couvre des sujets comme la gestion du temps, la communication, le leadership et la gestion du stress. L'entreprise offre également des plateformes d'apprentissage en ligne et un budget dédié à l'apprentissage continu, permettant aux employés d'accéder aux ressources de formation à leur propre rythme.","Des formations sont proposées pour développer les compétences des employés en matière de leadership et de participation, les préparant ainsi à prendre part activement aux décisions qui affectent leur travail et l'entreprise.",0.9037941335167564
Comment les programmes de formation sont-ils ajustés par l'entreprise XXX ?,"L'entreprise XXX propose divers types de programmes de formation pour soutenir le développement des employés, incluant des opportunités de formation techniques, personnelles et de développement continu. La formation technique se concentre sur le développement de compétences spécifiques dans des domaines tels que l'ingénierie, le développement logiciel et la gestion de projet. La formation au développement personnel couvre des sujets comme la gestion du temps, la communication, le leadership et la gestion du stress. L'entreprise met également à disposition des plateformes d'apprentissage en ligne et un budget dédié à l'apprentissage continu, permettant aux employés d'accéder aux ressources de formation à leur rythme. Un document détaillé pour chaque programme de formation est disponible, précisant les objectifs.","Sur la base des retours d'expérience, l'entreprise XXX ajuste régulièrement ses programmes de formation pour s'assurer qu'ils répondent aux besoins des employés et aux évolutions du marché.",0.9031950957314094
Quelle est la politique de télétravail adoptée par l'entreprise XXX ?,"La politique de télétravail de l'entreprise XXX permet à tous les employés d'être éligibles au télétravail, sous réserve de l'évaluation de leur poste et de leurs responsabilités. Les critères d'éligibilité incluent la nature des tâches, l'autonomie et la fiabilité de l'employé, les besoins de l'équipe et de l'entreprise, ainsi que les modalités de télétravail. L'entreprise détermine les modalités du télétravail en collaboration avec l'employé, y compris le nombre de jours, les horaires de travail et les outils et ressources nécessaires. L'entreprise fournit l'équipement nécessaire aux employés pour travailler efficacement depuis chez eux.",Elle met en place une politique de télétravail flexible pour répondre aux besoins des employés tout en maintenant la productivité et l'engagement envers les objectifs de l'entreprise.,0.8985552220289211
Comment se fait le suivi des progrès liés au PDI chez l'entreprise XXX ?,Je ne dispose pas d'informations suffisantes sur le suivi du contrôle PDI dans l'entreprise. Je vous suggère de consulter votre superviseur ou le responsable RH pour obtenir plus de détails.,"Le suivi des progrès réalisés dans le cadre du PDI est effectué lors des réunions régulières entre l'employé et son supérieur hiérarchique, permettant d'ajuster le plan en fonction des évolutions des besoins et des objectifs de l'entreprise.",0.8832239983147745
Comment les employés peuvent-ils surveiller l'avancement de leurs objectifs ?,"Malheureusement, il ne semble pas y avoir de moyen pour les employés de suivre l'avancement de leurs objectifs d'après les données fournies.",Les employés sont encouragés à suivre régulièrement l'avancement de leurs objectifs. Des réunions périodiques avec leur supérieur hiérarchique permettent d'ajuster les objectifs si nécessaire.,0.8676625311900853
Comment sont menées les actions disciplinaires au sein de l'entreprise XXX ?,"Les mesures disciplinaires peuvent inclure des avertissements verbaux ou écrits, une suspension temporaire ou une résiliation de contrat pour des violations des règles de conduite de l'entreprise. Les types de violations comprennent le harcèlement, la discrimination, un comportement inapproprié ou violent, le vol ou la détournement de ressources de l'entreprise, et le non-respect des politiques de sécurité.","Toute action disciplinaire sera menée de manière équitable et transparente, avec une enquête préalable pour examiner les faits avant toute décision.",0.852407139523737
Quels types de vérifications sont effectués avant une décision finale ?,Je ne connais pas la réponse. Cela n'est pas mentionné dans les données fournies. Vous pouvez poser la question à votre superviseur ou au responsable des ressources humaines.,"Avant de prendre une décision finale, le département RH peut procéder à des vérifications de références auprès des employeurs précédents des candidats sélectionnés.",0.8153022361371729
Que couvre la section formation et développement des collaborateurs dans la politique ?,"Les sanctions disciplinaires peuvent inclure des avertissements verbaux ou écrits, une suspension temporaire ou un licenciement en cas de violation des règles de conduite de l'entreprise. Les types de violations incluent le harcèlement, la discrimination, les comportements inappropriés ou violents, le vol ou la détournement de ressources de l'entreprise, ainsi que le non-respect des politiques de sécurité.","La section sur la formation et le développement des employés décrit les opportunités de formation disponibles, la procédure d'inscription et l'évaluation des programmes de formation.",0.8107294794783808
Quelles sont les différentes étapes du processus d'examen des candidatures ?,Je ne connais pas la réponse. Cela n'est pas mentionné dans les données fournies. Vous pouvez poser la question à votre superviseur ou au responsable des ressources humaines.,"Le département RH procède à une première sélection des candidatures reçues. Cette étape comprend la vérification des qualifications et de l'expérience, ainsi que l'identification des candidats correspondant le mieux aux exigences du poste.",0.7957722470682214
Quelle est la démarche recommandée pour prendre ses congés ?,Je ne connais pas la réponse. Cela n'est pas mentionné dans les données fournies. Vous pouvez poser la question à votre superviseur ou au responsable des ressources humaines.,Les congés doivent être pris de manière raisonnable et planifiée afin de minimiser l'impact sur les opérations de l'entreprise.,0.7712240710494283
Que doit faire un employé pour préserver sa santé physique et mentale ?,Je ne connais pas la réponse. Cela n'est pas mentionné dans les données fournies. Vous pouvez poser la question à votre superviseur ou au responsable des ressources humaines.,Nous encourageons tous les employés à prendre pleinement avantage de leur droit aux congés afin de maintenir leur santé physique et mentale.,0.7695098230413222
